cnpj_basico,cnpj_ordem,matriz_filial,nome_fantasia,situacao,data_situacao,data_inicio,uf,municipio_codigo
22902694,0020,2,SELF IT ACADEMIAS,02,20170203,20170203,BA,3849
27039843,0001,1,,08,20180625,20170206,DF,9701
27041283,0001,1,JULIANA PILATES,08,20241202,20170206,BA,3849
27042629,0001,1,,08,20240611,20170206,PR,7563
27043073,0001,1,FOR3,04,20220208,20170206,RJ,6001
27046406,0001,1,PAULO ROBERTO RIBEIRO CHAGAS,08,20170213,20170207,RJ,6001
27047173,0001,1,,04,20210226,20170207,SP,7107
27049993,0001,1,STUDIO BOA FORMA,08,20180130,20170207,SP,6235
27051236,0001,1,,04,20220209,20170207,SP,7107
27053653,0001,1,ACADEMIA WORK FIT EIRELI,02,20170207,20170207,RN,1837
27056036,0001,1,ACADEMIA FOR FITNESS,08,20230925,20170208,SP,6861
27056292,0001,1,ACADEMIA TROIA,08,20210107,20170208,RS,8945
27062387,0001,1,,08,20180105,20170208,CE,1527
27068612,0001,1,,02,20170209,20170209,MG,4477
27069902,0001,1,DANIEL TORQUATO PERSONAL TRAINER,08,20230201,20170209,PB,2051
27070670,0001,1,PERSONAL KAREN,04,20210330,20170209,MG,4115
27071267,0001,1,TAINA,04,20220208,20170209,PR,7659
27072037,0001,1,,08,20250801,20170209,SP,2965
27072531,0001,1,,08,20190313,20170209,SP,7107
27074567,0001,1,BLACK X ADVENTURE SPORTS,02,20170209,20170209,RN,1759
27075497,0001,1,CESAR C MENDES PREPARADOR FISICO,08,20190104,20170209,SP,7107
27075587,0001,1,SIDY,08,20200317,20170209,ES,5691
27078071,0001,1,,08,20190108,20170210,SC,8179
27081155,0001,1,,08,20230313,20170210,SP,6619
27082125,0001,1,,08,20171116,20170210,MG,5373
27082139,0001,1,,08,20180126,20170210,PR,5453
27082978,0001,1,VICTUS TRAINING,02,20170210,20170210,SP,7145
27083877,0001,1,ACADEMIA POWERLIFTING,04,20210317,20170210,PR,0870
27087773,0001,1,BODYLIFE,04,20220208,20170212,AM,0255
27088260,0001,1,,04,20210406,20170212,SP,6285
27090674,0001,1,ATIVO MOVIMENTO FUNCIONAL,02,20170213,20170213,PE,2435
27092434,0001,1,,08,20170323,20170213,MG,4371
27093297,0001,1,LOFER ASSESSORIA E TREINAMENTO,08,20191118,20170213,PR,7535
